Site Code, Site Name,Site Abbreviation,Center Longitude,Center Latitude
H,Hat Creek Observatory,HCO,-121.47,40.8
C,Capitol Reef Field Station,CFS,-111.18,38.18527
B,Bridger,BRG,-108.92,45.29838
E,Eastern Iowa Observatory,EIO,-91.499,41.88884
X,Millstone Hill Observatory,MHO,-71.484,42.61191
P,Pisgah Astronomical Observatory,PSG,-82.874,35.20115
R,Rainwater Observatory,RWR,-89.386,33.29205
M,Madison,MDS,-96.094047,38.11792
X,McDonald Observatory,MDO,-104.023,30.6714
L,Lowell Observatory,LWL,,
X,Bear Lake Observatory,BLO,,
